"Year","Corpus","Female First","Male First","Female Last","Male Last"
2002,"Non-Patent-Cited",27263,49119,21208,55174
2002,"Patent-Cited",5913,13126,3617,15422
2003,"Non-Patent-Cited",28874,50600,22408,57066
2003,"Patent-Cited",6234,12885,3733,15386
2004,"Non-Patent-Cited",31141,52851,23613,60379
2004,"Patent-Cited",6652,13303,3946,16009
2005,"Non-Patent-Cited",33974,55513,25417,64070
2005,"Patent-Cited",6448,13215,3865,15798
2006,"Non-Patent-Cited",36255,57205,27260,66200
2006,"Patent-Cited",6448,12936,3947,15437
2007,"Non-Patent-Cited",37843,59672,28187,69328
2007,"Patent-Cited",6516,12372,3846,15042
2008,"Non-Patent-Cited",40987,61225,30308,71904
2008,"Patent-Cited",6404,12356,3815,14945
2009,"Non-Patent-Cited",43057,62686,31706,74037
2009,"Patent-Cited",6216,11727,3839,14104
2010,"Non-Patent-Cited",45906,65311,33397,77820
2010,"Patent-Cited",6141,11136,3603,13674
2011,"Non-Patent-Cited",50250,68768,36769,82249
2011,"Patent-Cited",5682,10182,3469,12395
2012,"Non-Patent-Cited",53977,72581,39863,86695
2012,"Patent-Cited",5199,9057,3061,11195
2013,"Non-Patent-Cited",55727,73692,40914,88505
2013,"Patent-Cited",4254,7508,2571,9191
2014,"Non-Patent-Cited",54757,71893,39763,86887
2014,"Patent-Cited",3318,5978,2020,7276
2015,"Non-Patent-Cited",58631,74738,43328,90041
2015,"Patent-Cited",2770,4536,1641,5665
