Institution Name,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor,NIH Funding,Institution Type
Aaron Diamond AIDS Research Center,2015,1,1,1,0.043478261,7778846,Facility
Aaron Diamond AIDS Research Center,2005,1,3,4,0.1875,6418359,Facility
Aaron Diamond AIDS Research Center,2009,1,2,3,0.111111111,6511180,Facility
Aaron Diamond AIDS Research Center,2003,2,2,9,0.166666667,5090107,Facility
Aaron Diamond AIDS Research Center,2010,7,3,73,3.125,5001525,Facility
Aaron Diamond AIDS Research Center,2011,2,4,3,0.111111111,5639409,Facility
Aaron Diamond AIDS Research Center,2004,2,3,6,0.153846154,5019692,Facility
Aaron Diamond AIDS Research Center,2012,1,3,1,0.052631579,7304413,Facility
Aaron Diamond AIDS Research Center,2001,2,2,20,0.466666667,5059050,Facility
Aaron Diamond AIDS Research Center,2007,3,2,6,0.230769231,4886152,Facility
Aaron Diamond AIDS Research Center,2013,2,7,7,0.086956522,7520435,Facility
Adelphi University,2000,2,14,2,0.025641026,51243,Education
Adelphi University,2003,1,12,15,0.068181818,71962,Education
Akron General Medical Center,2008,0,13,0,0.026315789,68600,Healthcare
Akron General Medical Center,2011,1,12,1,0.024390244,71520,Healthcare
Alabama State University,2006,1,7,5,0.076923077,1247967,Education
Alabama State University,2013,4,2,7,0.217391304,361468,Education
Alabama State University,2012,2,3,4,0.047619048,281548,Education
Alabama State University,2007,2,3,21,0.2,1100427,Education
Alabama State University,2011,1,5,17,0.5,220435,Education
Alabama State University,2009,3,5,14,0.217391304,337239,Education
Alabama State University,2014,1,13,1,0.047619048,576901,Education
Alaska Native Tribal Health Consortium,2014,1,10,1,0.021276596,328188,Nonprofit
Alcorn State University,2009,1,2,8,0.333333333,334229,Education
Allen Institute,2011,1,4,1,0.071428571,969243,Nonprofit
Allen Institute,2012,4,8,22,0.1875,796396,Nonprofit
Allen Institute,2014,6,8,9,0.272727273,6545645,Nonprofit
Allen Institute,2010,1,4,21,0.272727273,1117191,Nonprofit
Allen Institute,2015,1,20,3,0.047619048,5736622,Nonprofit
Alzheimer's Drug Discovery Foundation,2010,0,2,0,0.142857143,85000,Nonprofit
Alzheimer's Drug Discovery Foundation,2011,1,2,2,0.111111111,75000,Nonprofit
American College of Medical Genetics,2004,1,1,10,0.5,45000,Education
American Institutes for Research,2007,1,2,13,0.142857143,977978,Nonprofit
American Museum of Natural History,2003,1,0,1,0.090909091,240385,Archive
American Type Culture Collection,2004,1,2,1,0.2,37983927,Nonprofit
American University,2009,1,44,2,0.008,300002,Education
American University,2004,2,32,5,0.00952381,516396,Education
American University,2003,2,23,26,0.048543689,304437,Education
American University,2007,2,36,3,0.008474576,26533,Education
American University,2011,1,45,2,0.006944444,1744762,Education
American University,2012,2,44,2,0.006493506,1933609,Education
