Journal ISO4 Abbreviation,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor
3 Biotech,2015,9,96,10,0.054545455
AAOHN J,2010,3,73,29,0.025723473
AAPS J,2005,30,50,203,2.68
AAPS J,2006,44,47,337,1.095238095
AAPS J,2007,18,20,184,0.247474747
AAPS J,2008,24,42,87,0.186440678
AAPS J,2009,38,41,176,0.262589928
AAPS J,2010,41,39,143,0.258064516
AAPS J,2011,13,49,72,0.111940299
AAPS J,2012,26,71,105,0.186440678
AAPS J,2013,31,89,70,0.149390244
AAPS J,2014,22,112,36,0.067567568
AAPS J,2015,24,111,66,0.135831382
AAPS PharmSci,2001,20,16,108,0.545454545
AAPS PharmSci,2002,17,28,66,0.206521739
AAPS PharmSci,2003,17,14,135,0.18115942
AAPS PharmSci,2004,6,8,16,0.073333333
AAPS PharmSciTech,2006,55,75,170,0.220408163
AAPS PharmSciTech,2007,47,64,146,0.168639053
AAPS PharmSciTech,2008,58,109,157,0.211488251
AAPS PharmSciTech,2009,51,124,90,0.088477366
AAPS PharmSciTech,2010,71,130,175,0.133333333
AAPS PharmSciTech,2011,53,102,141,0.109756098
AAPS PharmSciTech,2012,45,119,73,0.06980057
AAPS PharmSciTech,2013,34,111,61,0.068767908
AAPS PharmSciTech,2014,35,124,49,0.058470765
AAPS PharmSciTech,2015,25,126,60,0.071656051
Abdom Imaging,2000,4,126,17,0.001886792
Abdom Imaging,2001,2,124,12,0.005555556
Abdom Imaging,2002,4,113,8,0.009380863
Abdom Imaging,2003,3,145,5,0.00390625
Abdom Imaging,2004,3,113,12,0.015238095
Abdom Imaging,2005,7,111,8,0.001968504
Abdom Imaging,2006,7,100,9,0.007984032
Abdom Imaging,2007,6,114,12,0.014227642
Abdom Imaging,2008,4,121,4,0.004282655
Abdom Imaging,2009,5,92,6,0.006276151
Abdom Imaging,2010,3,111,3,0.004366812
Abdom Imaging,2011,1,107,1,0.002145923
Abdom Imaging,2012,3,123,4,0.00660793
Abdom Imaging,2013,2,144,2,0.004338395
Abdom Imaging,2015,5,347,12,0.020599251
Acad Emerg Med,1999,4,165,28,0.00456621
Acad Emerg Med,2000,7,215,12,0.005617978
Acad Emerg Med,2001,13,141,37,0.01391863
Acad Emerg Med,2002,13,156,14,0.00441989
Acad Emerg Med,2003,16,173,23,0.006578947
Acad Emerg Med,2004,8,178,17,0.00660066
Acad Emerg Med,2005,6,180,12,0.004662005
Acad Emerg Med,2006,10,201,19,0.014705882
Acad Emerg Med,2007,6,190,8,0.004459309
Acad Emerg Med,2008,13,179,32,0.015435502
Acad Emerg Med,2009,5,215,9,0.006557377
Acad Emerg Med,2010,16,231,18,0.008519702
Acad Emerg Med,2011,6,223,6,0.003051882
Acad Emerg Med,2012,6,177,8,0.003006012
Acad Emerg Med,2013,3,166,15,0.008213552
Acad Emerg Med,2014,1,189,2,0.002169197
Acad Emerg Med,2015,4,186,4,0.002293578
Acad Med,1999,4,375,10,0.00248293
Acad Med,2000,4,484,9,0.000580383
Acad Med,2003,3,257,8,0.001158749
Acad Med,2004,2,252,6,0.000643501
Acad Med,2008,2,231,18,0.00199005
Acad Med,2010,4,480,6,0.001676446
Acad Med,2014,1,343,1,0.000562114
Acad Pediatr,2010,1,69,1,0.011235955
Acad Psychiatry,2007,1,88,1,0.003076923
Acad Radiol,1999,12,104,21,0.005599104
Acad Radiol,2000,13,103,40,0.01120797
Acad Radiol,2001,17,112,37,0.020634921
Acad Radiol,2002,50,257,364,0.185867896
Acad Radiol,2003,18,146,66,0.03256445
Acad Radiol,2004,31,127,79,0.031766201
Acad Radiol,2005,38,151,101,0.056354916
Acad Radiol,2006,44,144,88,0.041387025
Acad Radiol,2007,27,152,52,0.032467532
Acad Radiol,2008,21,158,35,0.024358974
Acad Radiol,2009,25,173,28,0.02022756
Acad Radiol,2010,18,203,51,0.032540676
Acad Radiol,2011,16,190,19,0.010817308
Acad Radiol,2012,8,210,11,0.009302326
Acad Radiol,2013,7,206,9,0.008879023
Acad Radiol,2014,4,196,4,0.002169197
Acad Radiol,2015,4,213,8,0.003333333
Acc. Chem. Res.,2000,42,59,376,12.14285714
Acc. Chem. Res.,2001,48,56,541,1.173076923
Acc. Chem. Res.,2002,52,70,665,0.76076555
Acc. Chem. Res.,2003,46,56,177,0.215568862
Acc. Chem. Res.,2004,49,55,198,0.107551487
Acc. Chem. Res.,2005,42,57,216,0.136054422
Acc. Chem. Res.,2006,32,70,87,0.084862385
Acc. Chem. Res.,2007,69,81,363,0.472154964
Acc. Chem. Res.,2008,95,72,693,0.658695652
Acc. Chem. Res.,2009,72,119,240,0.25095057
Acc. Chem. Res.,2010,49,100,211,0.162640902
Acc. Chem. Res.,2011,67,59,249,0.247005988
Acc. Chem. Res.,2012,66,141,270,0.246130031
Acc. Chem. Res.,2013,83,201,190,0.21574344
Acc. Chem. Res.,2014,87,270,132,0.128826531
Acc. Chem. Res.,2015,56,254,97,0.082329317
Accid Anal Prev,2000,5,88,8,0.00872093
Accid Anal Prev,2002,3,84,8,0.00286533
Accid Anal Prev,2003,6,99,7,0.002857143
Accid Anal Prev,2005,4,128,5,0.007481297
Accid Anal Prev,2007,4,147,19,0.029469548
Accid Anal Prev,2008,12,242,26,0.021621622
Accid Anal Prev,2009,6,152,6,0.004360465
Accid Anal Prev,2010,5,265,6,0.005594406
Accid Anal Prev,2011,5,258,7,0.003579952
Accid Anal Prev,2012,8,278,12,0.007360673
Accid Anal Prev,2013,15,495,21,0.018218623
Accid Anal Prev,2014,8,317,9,0.005961252
ACM Trans Model Comput Simul,2014,1,0,1,0.5
Acoust Phys,2010,2,0,4,1.333333333
Acoust Phys,2011,1,0,2,0.4
ACS Appl Mater Interfaces,2010,144,248,431,0.571072319
ACS Appl Mater Interfaces,2011,228,409,461,0.371629543
ACS Appl Mater Interfaces,2012,294,648,567,0.264473684
ACS Appl Mater Interfaces,2013,488,1226,805,0.270193861
ACS Appl Mater Interfaces,2014,654,2017,1040,0.23110766
ACS Appl Mater Interfaces,2015,638,2629,916,0.126658039
ACS Catal,2012,3,3,6,1.5
ACS Catal,2013,4,12,7,0.4
ACS Catal,2014,8,5,19,0.461538462
ACS Catal,2015,1,17,1,0.025641026
ACS Chem Neurosci,2011,28,51,103,0.561797753
ACS Chem Neurosci,2012,33,83,115,0.403508772
ACS Chem Neurosci,2013,38,126,96,0.206185567
ACS Chem Neurosci,2014,32,107,53,0.095238095
ACS Chem Neurosci,2015,29,173,46,0.071566731
ACS Chem. Biol.,2007,40,54,196,0.829268293
ACS Chem. Biol.,2008,32,41,170,0.251046025
ACS Chem. Biol.,2009,43,48,146,0.189189189
ACS Chem. Biol.,2010,51,37,178,0.301587302
ACS Chem. Biol.,2011,70,52,295,0.402777778
ACS Chem. Biol.,2012,105,118,328,0.450733753
ACS Chem. Biol.,2013,108,184,312,0.416801292
ACS Chem. Biol.,2014,86,216,233,0.242496999
ACS Chem. Biol.,2015,68,221,190,0.162417375
ACS Comb Sci,2012,22,65,28,0.314606742
ACS Comb Sci,2013,15,71,23,0.106382979
ACS Comb Sci,2014,17,76,26,0.072463768
ACS Comb Sci,2015,8,76,13,0.032258065
ACS Macro Lett,2013,13,8,40,1.789473684
ACS Macro Lett,2014,5,11,14,0.275
ACS Med Chem Lett,2011,95,82,315,1.590909091
ACS Med Chem Lett,2012,107,134,391,0.895470383
ACS Med Chem Lett,2013,109,169,321,0.384469697
ACS Med Chem Lett,2014,86,202,222,0.223325062
ACS Med Chem Lett,2015,78,181,196,0.170558376
ACS Nano,2008,163,136,723,4.911764706
ACS Nano,2009,269,245,1074,1.551020408
ACS Nano,2010,449,468,1717,1.095860566
ACS Nano,2011,493,663,1563,0.570655116
ACS Nano,2012,517,701,1544,0.380386834
ACS Nano,2013,455,754,1251,0.261997406
ACS Nano,2014,488,859,1230,0.227202813
ACS Nano,2015,334,936,640,0.106942215
ACS Photonics,2015,2,8,3,0.555555556
ACS Sustain Chem Eng,2014,1,6,2,0.666666667
ACS Sustain Chem Eng,2015,2,2,2,0.2
ACS Synth Biol,2013,34,34,96,0.971428571
ACS Synth Biol,2014,38,70,125,0.633986928
ACS Synth Biol,2015,52,85,154,0.512544803
Acta Anaesthesiol Scand,1999,16,161,59,0.014238773
Acta Anaesthesiol Scand,2000,20,168,60,0.007743363
Acta Anaesthesiol Scand,2001,16,187,27,0.004424779
Acta Anaesthesiol Scand,2002,18,196,89,0.041666667
Acta Anaesthesiol Scand,2003,15,193,67,0.020022247
Acta Anaesthesiol Scand,2004,11,189,29,0.012944984
Acta Anaesthesiol Scand,2005,20,228,74,0.027253669
Acta Anaesthesiol Scand,2006,10,179,20,0.009746589
Acta Anaesthesiol Scand,2007,14,181,42,0.013220019
Acta Anaesthesiol Scand,2008,10,190,17,0.008264463
Acta Anaesthesiol Scand,2009,8,179,23,0.007887818
Acta Anaesthesiol Scand,2010,8,157,8,0.004541326
Acta Anaesthesiol Scand,2011,4,153,8,0.004830918
Acta Anaesthesiol Scand,2012,4,157,7,0.006224066
Acta Anaesthesiol Scand,2013,3,156,3,0.00232288
Acta Anaesthesiol Scand,2014,4,145,5,0.003764115
Acta Anaesthesiol Scand,2015,1,144,1,0.001283697
Acta Astronaut,2002,1,23,6,0.005988024
Acta Astronaut,2005,4,53,4,0.013605442
Acta Astronaut,2008,1,1,5,0.040816327
Acta Astronaut,2011,1,0,1,0.5
Acta Biochim. Biophys. Sin. (Shanghai),2005,28,92,87,0.319672131
Acta Biochim. Biophys. Sin. (Shanghai),2006,15,105,29,0.045454545
