Term,Frequency,Corpus,Term Type
human,186370,Patent-Cited,Title
cells,167977,Patent-Cited,Title
cell,124783,Patent-Cited,Title
protein,116509,Patent-Cited,Title
gene,101567,Patent-Cited,Title
expression,99517,Patent-Cited,Title
cancer,89763,Patent-Cited,Title
using,81440,Patent-Cited,Title
receptor,78959,Patent-Cited,Title
patients,70906,Patent-Cited,Title
analysis,69308,Patent-Cited,Title
activity,69212,Patent-Cited,Title
effects,68605,Patent-Cited,Title
synthesis,64679,Patent-Cited,Title
novel,64627,Patent-Cited,Title
disease,64594,Patent-Cited,Title
growth,62929,Patent-Cited,Title
factor,62089,Patent-Cited,Title
characterization,59175,Patent-Cited,Title
acid,59170,Patent-Cited,Title
effect,58713,Patent-Cited,Title
study,58578,Patent-Cited,Title
treatment,57980,Patent-Cited,Title
new,57816,Patent-Cited,Title
virus,56743,Patent-Cited,Title
dna,55624,Patent-Cited,Title
role,49477,Patent-Cited,Title
rat,44158,Patent-Cited,Title
mice,43864,Patent-Cited,Title
vitro,43337,Patent-Cited,Title
molecular,42296,Patent-Cited,Title
therapy,40762,Patent-Cited,Title
detection,40539,Patent-Cited,Title
proteins,39393,Patent-Cited,Title
development,38909,Patent-Cited,Title
clinical,38761,Patent-Cited,Title
model,38151,Patent-Cited,Title
system,37989,Patent-Cited,Title
type,37816,Patent-Cited,Title
binding,36690,Patent-Cited,Title
vivo,36504,Patent-Cited,Title
identification,36052,Patent-Cited,Title
activation,35557,Patent-Cited,Title
tumor,34996,Patent-Cited,Title
inhibition,34041,Patent-Cited,Title
structure,33212,Patent-Cited,Title
response,32706,Patent-Cited,Title
evaluation,32452,Patent-Cited,Title
mouse,32430,Patent-Cited,Title
kinase,31606,Patent-Cited,Title
properties,31109,Patent-Cited,Title
function,31034,Patent-Cited,Title
production,30652,Patent-Cited,Title
regulation,29754,Patent-Cited,Title
use,29690,Patent-Cited,Title
blood,29546,Patent-Cited,Title
inhibitors,29405,Patent-Cited,Title
genes,28645,Patent-Cited,Title
b,28436,Patent-Cited,Title
potential,28276,Patent-Cited,Title
studies,28163,Patent-Cited,Title
ii,27740,Patent-Cited,Title
imaging,26784,Patent-Cited,Title
brain,26668,Patent-Cited,Title
tissue,26667,Patent-Cited,Title
functional,26521,Patent-Cited,Title
breast,26158,Patent-Cited,Title
rats,25918,Patent-Cited,Title
comparison,25840,Patent-Cited,Title
stem,25778,Patent-Cited,Title
receptors,25424,Patent-Cited,Title
coli,25303,Patent-Cited,Title
associated,25046,Patent-Cited,Title
peptide,25043,Patent-Cited,Title
antibodies,24818,Patent-Cited,Title
method,24188,Patent-Cited,Title
antibody,24147,Patent-Cited,Title
acute,24141,Patent-Cited,Title
high,24103,Patent-Cited,Title
bone,24095,Patent-Cited,Title
inhibitor,23695,Patent-Cited,Title
drug,23688,Patent-Cited,Title
chronic,23502,Patent-Cited,Title
c,23143,Patent-Cited,Title
escherichia,22852,Patent-Cited,Title
two,22504,Patent-Cited,Title
sequence,22298,Patent-Cited,Title
control,22190,Patent-Cited,Title
signaling,22189,Patent-Cited,Title
infection,22181,Patent-Cited,Title
plasma,22115,Patent-Cited,Title
complex,21755,Patent-Cited,Title
formation,21655,Patent-Cited,Title
membrane,21615,Patent-Cited,Title
carcinoma,21514,Patent-Cited,Title
rna,21421,Patent-Cited,Title
surface,21348,Patent-Cited,Title
resistance,21314,Patent-Cited,Title
based,21300,Patent-Cited,Title
serum,21282,Patent-Cited,Title
patients,1002679,Non-Patent-Cited,Title
study,867230,Non-Patent-Cited,Title
treatment,709514,Non-Patent-Cited,Title
human,622861,Non-Patent-Cited,Title
effects,594248,Non-Patent-Cited,Title
cells,591244,Non-Patent-Cited,Title
effect,590915,Non-Patent-Cited,Title
disease,587163,Non-Patent-Cited,Title
cancer,569260,Non-Patent-Cited,Title
cell,525954,Non-Patent-Cited,Title
clinical,510443,Non-Patent-Cited,Title
analysis,486249,Non-Patent-Cited,Title
health,427603,Non-Patent-Cited,Title
case,424470,Non-Patent-Cited,Title
using,415968,Non-Patent-Cited,Title
new,408628,Non-Patent-Cited,Title
children,370608,Non-Patent-Cited,Title
rat,366302,Non-Patent-Cited,Title
care,359003,Non-Patent-Cited,Title
therapy,354631,Non-Patent-Cited,Title
protein,353386,Non-Patent-Cited,Title
activity,350233,Non-Patent-Cited,Title
syndrome,349428,Non-Patent-Cited,Title
role,341515,Non-Patent-Cited,Title
acute,339263,Non-Patent-Cited,Title
expression,327097,Non-Patent-Cited,Title
use,322770,Non-Patent-Cited,Title
report,321875,Non-Patent-Cited,Title
evaluation,307741,Non-Patent-Cited,Title
gene,293841,Non-Patent-Cited,Title
chronic,288418,Non-Patent-Cited,Title
blood,287150,Non-Patent-Cited,Title
system,276597,Non-Patent-Cited,Title
risk,274477,Non-Patent-Cited,Title
development,268896,Non-Patent-Cited,Title
rats,265347,Non-Patent-Cited,Title
associated,264224,Non-Patent-Cited,Title
review,262908,Non-Patent-Cited,Title
management,258668,Non-Patent-Cited,Title
studies,258250,Non-Patent-Cited,Title
diagnosis,258183,Non-Patent-Cited,Title
patient,250777,Non-Patent-Cited,Title
acid,246382,Non-Patent-Cited,Title
comparison,241753,Non-Patent-Cited,Title
response,240003,Non-Patent-Cited,Title
model,239935,Non-Patent-Cited,Title
growth,239484,Non-Patent-Cited,Title
changes,236569,Non-Patent-Cited,Title
surgery,232795,Non-Patent-Cited,Title
function,225364,Non-Patent-Cited,Title
liver,224220,Non-Patent-Cited,Title
factors,220286,Non-Patent-Cited,Title
carcinoma,218184,Non-Patent-Cited,Title
among,212671,Non-Patent-Cited,Title
brain,212304,Non-Patent-Cited,Title
primary,212258,Non-Patent-Cited,Title
infection,208864,Non-Patent-Cited,Title
receptor,207891,Non-Patent-Cited,Title
heart,204594,Non-Patent-Cited,Title
factor,203478,Non-Patent-Cited,Title
renal,202382,Non-Patent-Cited,Title
medical,199208,Non-Patent-Cited,Title
virus,198807,Non-Patent-Cited,Title
type,194961,Non-Patent-Cited,Title
two,193235,Non-Patent-Cited,Title
following,189567,Non-Patent-Cited,Title
ii,188703,Non-Patent-Cited,Title
early,187174,Non-Patent-Cited,Title
vitro,186337,Non-Patent-Cited,Title
control,185101,Non-Patent-Cited,Title
women,182713,Non-Patent-Cited,Title
mice,182521,Non-Patent-Cited,Title
results,181381,Non-Patent-Cited,Title
dna,180493,Non-Patent-Cited,Title
assessment,180462,Non-Patent-Cited,Title
characterization,178740,Non-Patent-Cited,Title
bone,177132,Non-Patent-Cited,Title
breast,174420,Non-Patent-Cited,Title
cases,172263,Non-Patent-Cited,Title
molecular,172109,Non-Patent-Cited,Title
lung,171323,Non-Patent-Cited,Title
pulmonary,167927,Non-Patent-Cited,Title
method,167380,Non-Patent-Cited,Title
detection,166664,Non-Patent-Cited,Title
research,162685,Non-Patent-Cited,Title
synthesis,162541,Non-Patent-Cited,Title
surgical,161793,Non-Patent-Cited,Title
novel,161169,Non-Patent-Cited,Title
serum,159735,Non-Patent-Cited,Title
levels,159058,Non-Patent-Cited,Title
different,158570,Non-Patent-Cited,Title
influence,158382,Non-Patent-Cited,Title
coronary,158310,Non-Patent-Cited,Title
imaging,153155,Non-Patent-Cited,Title
muscle,152891,Non-Patent-Cited,Title
plasma,152152,Non-Patent-Cited,Title
drug,149748,Non-Patent-Cited,Title
high,149165,Non-Patent-Cited,Title
structure,148961,Non-Patent-Cited,Title
cardiac,148652,Non-Patent-Cited,Title
cell,2840919,Patent-Cited,Abstract
protein,1281211,Patent-Cited,Abstract
patient,1245028,Patent-Cited,Abstract
results,873794,Patent-Cited,Abstract
expression,783869,Patent-Cited,Abstract
activity,715180,Patent-Cited,Abstract
using,714689,Patent-Cited,Abstract
human,701672,Patent-Cited,Abstract
also,697910,Patent-Cited,Abstract
study,678857,Patent-Cited,Abstract
may,636874,Patent-Cited,Abstract
gene,634971,Patent-Cited,Abstract
p,629894,Patent-Cited,Abstract
two,597804,Patent-Cited,Abstract
treatment,582295,Patent-Cited,Abstract
used,572741,Patent-Cited,Abstract
levels,507771,Patent-Cited,Abstract
-,471296,Patent-Cited,Abstract
increased,470766,Patent-Cited,Abstract
analysis,466850,Patent-Cited,Abstract
found,441234,Patent-Cited,Abstract
acid,440195,Patent-Cited,Abstract
effects,434505,Patent-Cited,Abstract
studies,433206,Patent-Cited,Abstract
dna,424381,Patent-Cited,Abstract
disease,423679,Patent-Cited,Abstract
data,422823,Patent-Cited,Abstract
effect,419917,Patent-Cited,Abstract
high,419440,Patent-Cited,Abstract
cancer,417770,Patent-Cited,Abstract
compared,412705,Patent-Cited,Abstract
mice,412524,Patent-Cited,Abstract
different,405290,Patent-Cited,Abstract
significantly,401275,Patent-Cited,Abstract
showed,398132,Patent-Cited,Abstract
growth,392882,Patent-Cited,Abstract
binding,392812,Patent-Cited,Abstract
receptor,388720,Patent-Cited,Abstract
one,387647,Patent-Cited,Abstract
however,387419,Patent-Cited,Abstract
group,376409,Patent-Cited,Abstract
c,369928,Patent-Cited,Abstract
clinical,366102,Patent-Cited,Abstract
response,364750,Patent-Cited,Abstract
role,358151,Patent-Cited,Abstract
system,349894,Patent-Cited,Abstract
genes,349513,Patent-Cited,Abstract
significant,349088,Patent-Cited,Abstract
methods,347381,Patent-Cited,Abstract
associated,342560,Patent-Cited,Abstract
control,340884,Patent-Cited,Abstract
observed,339658,Patent-Cited,Abstract
new,330182,Patent-Cited,Abstract
tumor,327884,Patent-Cited,Abstract
well,321507,Patent-Cited,Abstract
model,311795,Patent-Cited,Abstract
factor,309921,Patent-Cited,Abstract
method,309137,Patent-Cited,Abstract
potential,305454,Patent-Cited,Abstract
present,304619,Patent-Cited,Abstract
function,304115,Patent-Cited,Abstract
development,302543,Patent-Cited,Abstract
three,300469,Patent-Cited,Abstract
specific,298593,Patent-Cited,Abstract
use,294172,Patent-Cited,Abstract
vitro,293691,Patent-Cited,Abstract
peptide,292620,Patent-Cited,Abstract
activation,289072,Patent-Cited,Abstract
could,287541,Patent-Cited,Abstract
mg,283846,Patent-Cited,Abstract
tissue,283638,Patent-Cited,Abstract
blood,281007,Patent-Cited,Abstract
normal,280104,Patent-Cited,Abstract
h,279288,Patent-Cited,Abstract
increase,277493,Patent-Cited,Abstract
suggest,275888,Patent-Cited,Abstract
time,269748,Patent-Cited,Abstract
higher,268338,Patent-Cited,Abstract
respectively,267653,Patent-Cited,Abstract
vivo,266827,Patent-Cited,Abstract
important,262958,Patent-Cited,Abstract
b,262531,Patent-Cited,Abstract
within,259150,Patent-Cited,Abstract
including,257084,Patent-Cited,Abstract
identified,255905,Patent-Cited,Abstract
type,254859,Patent-Cited,Abstract
addition,253996,Patent-Cited,Abstract
sequence,253182,Patent-Cited,Abstract
show,250818,Patent-Cited,Abstract
reduced,250375,Patent-Cited,Abstract
molecular,249796,Patent-Cited,Abstract
first,247574,Patent-Cited,Abstract
n,246294,Patent-Cited,Abstract
presence,244284,Patent-Cited,Abstract
surface,242914,Patent-Cited,Abstract
induced,240874,Patent-Cited,Abstract
similar,238258,Patent-Cited,Abstract
several,238032,Patent-Cited,Abstract
low,238005,Patent-Cited,Abstract
therapy,236286,Patent-Cited,Abstract
patient,14535573,Non-Patent-Cited,Abstract
