Term,Log Likelihood,% Frequency in Patent-Cited Corpus,% Frequency in Non-Patent-Cited Corpus,Corpus,Rank,Year,Term Type
D013329,3421.7329870614453,0.004055844234512074,0.0005051548653113905,Patent-Cited,1,1970-1975,MESH
D055598,3101.3032843214255,0.006215449606135386,0.0014307652123871605,Patent-Cited,2,1970-1975,MESH
D002621,3011.280106429098,0.005859904819343743,0.001311964880078023,Patent-Cited,3,1970-1975,MESH
D002850,1666.9892467604473,0.0042718047716744055,0.0012117818224984787,Patent-Cited,4,1970-1975,MESH
D006863,1627.2110100431814,0.006478816114869937,0.002462180665351906,Patent-Cited,5,1970-1975,MESH
D007700,1619.958490372026,0.0061285386582529845,0.002261353726560897,Patent-Cited,6,1970-1975,MESH
D009682,1538.6653344385068,0.0021938430177588036,0.0003503181249860601,Patent-Cited,7,1970-1975,MESH
D008970,1514.043350510472,0.0038925569990966528,0.0011069905285997284,Patent-Cited,8,1970-1975,MESH
D000596,1335.7615316571412,0.004279705766936441,0.0014240371873611192,Patent-Cited,9,1970-1975,MESH
D010455,1305.5580812744906,0.0028496256245078336,0.0007084702517147708,Patent-Cited,10,1970-1975,MESH
D002852,1148.86233813377,0.002704774044703831,0.0007170415712684945,Patent-Cited,11,1970-1975,MESH
D004926,1092.2688991238324,0.003918893649970108,0.0014009038410387037,Patent-Cited,12,1970-1975,MESH
D001665,1031.8534623102098,0.003242041722522314,0.0010648712486421832,Patent-Cited,13,1970-1975,MESH
D000595,994.3921051575618,0.0017540209481721046,0.0003562166674746441,Patent-Cited,14,1970-1975,MESH
D013056,946.8213794402875,0.0021464370461865847,0.0005513293932298373,Patent-Cited,15,1970-1975,MESH
D013237,932.6881257292636,0.0013984761613804618,0.00023732417043912253,Patent-Cited,16,1970-1975,MESH
D051379,833.8723169817126,0.007416400885964935,0.004019211552885318,Patent-Cited,17,1970-1975,MESH
D013053,833.5879844233598,0.00324994271778435,0.0012203531420522024,Patent-Cited,18,1970-1975,MESH
D011485,832.0616094777065,0.003155130774639912,0.0011657916240328003,Patent-Cited,19,1970-1975,MESH
D010084,822.725060543378,0.0025283184838516826,0.0008181462761118798,Patent-Cited,20,1970-1975,MESH
D002855,785.5528620679261,0.0031366951190284938,0.0011939940303063426,Patent-Cited,21,1970-1975,MESH
D013057,746.2518095120155,0.0017803575990455597,0.0004771367884906164,Patent-Cited,22,1970-1975,MESH
D006868,721.287278102434,0.0017408526227353771,0.00047096175182288004,Patent-Cited,23,1970-1975,MESH
D002848,710.6149692223964,0.0019462784995483264,0.000580545611493605,Patent-Cited,24,1970-1975,MESH
D009904,660.729803061867,0.0006557826067490302,6.147387249821155e-05,Patent-Cited,25,1970-1975,MESH
D013058,644.6602790758567,0.0012404562561397316,0.00027474304935107735,Patent-Cited,26,1970-1975,MESH
D004355,636.4821434356619,0.001509090095048973,0.00040239119539309086,Patent-Cited,27,1970-1975,MESH
D012995,614.4895345431692,0.0016197040287174841,0.000469487116200734,Patent-Cited,28,1970-1975,MESH
D002247,596.3499829256752,0.003837250032262397,0.0018415433978812067,Patent-Cited,29,1970-1975,MESH
D004591,568.042847873259,0.0018804368723646888,0.0006391623774739087,Patent-Cited,30,1970-1975,MESH
D006801,7837.72686425418,0.025588689988648904,0.05643605638932887,Non-Patent-Cited,1,1970-1975,MESH
D005260,3910.8684032020437,0.013323711676880897,0.028962673101484978,Non-Patent-Cited,2,1970-1975,MESH
D000328,3264.669275747683,0.006636836020110667,0.01747609108750506,Non-Patent-Cited,3,1970-1975,MESH
D008297,3149.493750376095,0.014429851013566008,0.028533922794346026,Non-Patent-Cited,4,1970-1975,MESH
D008875,2571.2380207121287,0.004611547567941975,0.012791173715947207,Non-Patent-Cited,5,1970-1975,MESH
D002648,2277.891413554272,0.001948912164635672,0.007699256912677055,Non-Patent-Cited,6,1970-1975,MESH
D000293,2038.915741921206,0.0025757244554239014,0.008361921295378915,Non-Patent-Cited,7,1970-1975,MESH
D000368,1478.0985355861626,0.002915467251691471,0.007772251375973283,Non-Patent-Cited,8,1970-1975,MESH
D002675,1391.666319059071,0.0011772482940434397,0.004679018829069271,Non-Patent-Cited,9,1970-1975,MESH
D014481,1063.043003078188,0.00036344578205367936,0.00249443831958635,Non-Patent-Cited,10,1970-1975,MESH
D007223,1003.0149138747282,0.0009533867616190719,0.0035639178045477394,Non-Patent-Cited,11,1970-1975,MESH
D011859,917.7407482013496,0.0006004756399147745,0.0027517622356508275,Non-Patent-Cited,12,1970-1975,MESH
D007231,892.7316094792994,0.0007611292102428503,0.003012496246591518,Non-Patent-Cited,13,1970-1975,MESH
D003937,863.2479019059804,0.0004082180885385529,0.0022717683406423034,Non-Patent-Cited,14,1970-1975,MESH
D000367,856.8427202279313,0.0013273672040221333,0.003923544566898596,Non-Patent-Cited,15,1970-1975,MESH
D011247,809.9246321578632,0.001996318136207891,0.004873486401739775,Non-Patent-Cited,16,1970-1975,MESH
D049673,808.4088979763961,0.00013168325436727513,0.001542284531311952,Non-Patent-Cited,17,1970-1975,MESH
D009729,569.135872612844,1.843565561141852e-05,0.0008525237190531586,Non-Patent-Cited,18,1970-1975,MESH
D002908,526.0196337130092,0.00033710913118022433,0.0015633902536539167,Non-Patent-Cited,19,1970-1975,MESH
D014586,482.6066122843081,1.053466034938201e-05,0.0007019265561414979,Non-Patent-Cited,20,1970-1975,MESH
D012737,461.0860304247508,0.0006110103002641566,0.0019394223373011476,Non-Patent-Cited,21,1970-1975,MESH
