"Year","Patent Cited","Not Patent Cited"
1970,4804,214075
1971,5331,217459
1972,6139,221188
1973,6344,224162
1974,7249,227127
1975,8728,239319
1976,9716,240188
1977,10242,238785
1978,10830,246460
1979,12234,252294
1980,13637,252772
1981,14953,255767
1982,16626,265602
1983,18901,274855
1984,21303,280332
1985,23468,294245
1986,26145,303943
1987,29294,316570
1988,32530,329520
1989,36651,339122
1990,41411,339196
1991,44489,333218
1992,48207,330855
1993,51088,335640
1994,55395,342763
1995,59758,346636
1996,62517,353772
1997,65517,348314
1998,70393,360559
1999,74277,373579
2000,81024,402265
2001,82390,410704
2002,84881,423405
2003,87845,443773
2004,92595,473239
2005,94705,505657
2006,94206,532688
2007,92887,558667
2008,93433,592333
2009,91780,625549
2010,90972,662823
2011,86796,716992
2012,82110,784757
2013,75188,835848
2014,65593,888972
2015,54571,933238
